code,lang,serie,fichero,url,pdf,txt,titulo,n_caracteres
ITM-SST 1244.1,fr,itm-cl-1100-2000,ITM-SST-1244-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1244-1.pdf,corpus/itm/pdf/ITM-SST-1244-1.pdf,corpus/itm/txt/ITM-SST-1244-1.txt,"ITM-SST 1244.1 — Srassen, 9 février 2015 — Grues industrielles motorisées conçues pour — le levage et le transport de charges suspendues,",14195
ITM-SST 1305.1,fr,itm-cl-1100-2000,ITM-SST-1305-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1305-1.pdf,corpus/itm/pdf/ITM-SST-1305-1.pdf,corpus/itm/txt/ITM-SST-1305-1.txt,"ITM-SST 1305.1 — Appareils sous pression fixes contenant de l’air comprimé — ou des gaz liquéfiés, comprimés ou dissous. — avec marquage « CE »",38830
ITM-SST 1308.1,fr,itm-cl-1100-2000,ITM-SST-1308-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1308-1.pdf,corpus/itm/pdf/ITM-SST-1308-1.pdf,corpus/itm/txt/ITM-SST-1308-1.txt,"ITM-SST 1308.1 — Appareils et installations à vapeur — Conçus d’après les exigences de la directive 97/23/CE ""Equipements sous pression"" — Prescriptions de sécurité types",71366
ITM-SST 1312.1,fr,itm-cl-1100-2000,ITM-SST-1312-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1312-1.pdf,corpus/itm/pdf/ITM-SST-1312-1.pdf,corpus/itm/txt/ITM-SST-1312-1.txt,ITM-SST 1312.1 — Appareils sous pression fixes isolés thermiquement utilisés — à l’emmagasinage de gaz liquéfiés à basse température. — Conçus d’après les exigences de la direct,40569
ITM-SST 1314.2,fr,itm-cl-1100-2000,ITM-SST-1314-2.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1314-2.pdf,corpus/itm/pdf/ITM-SST-1314-2.pdf,corpus/itm/txt/ITM-SST-1314-2.txt,ITM-SST 1314.2 — Installations de production de froid — fonctionnant au dioxyde de carbone — (CO2) (R744),29792
ITM-SST 1314.1,fr,itm-cl-1100-2000,ITM-SST-1314-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1314-1.pdf,corpus/itm/pdf/ITM-SST-1314-1.pdf,corpus/itm/txt/ITM-SST-1314-1.txt,ITM-SST 1314.1 — Installations de production de froid — fonctionnant au dioxyde de carbone — (CO2) (R744),29443
ITM-SST 1315.1,fr,itm-cl-1100-2000,ITM-SST-1315-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1315-1.pdf,corpus/itm/pdf/ITM-SST-1315-1.pdf,corpus/itm/txt/ITM-SST-1315-1.txt,ITM-SST 1315.1 — ITM-SST 1315.1,9
ITM-SST 1407.4,fr,itm-cl-1100-2000,ITM-SST-1407-4.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1407-4.pdf,corpus/itm/pdf/ITM-SST-1407-4.pdf,corpus/itm/txt/ITM-SST-1407-4.txt,ITM-SST 1407.4 — Sécurité relative aux travaux en hauteur sur cordes — -    Assurage en zone à risque de chute — -    Travail sur cordes en suspension dans le plan vertical,28812
ITM-SST 1407.3,fr,itm-cl-1100-2000,ITM-SST-1407-3.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1407-3.pdf,corpus/itm/pdf/ITM-SST-1407-3.pdf,corpus/itm/txt/ITM-SST-1407-3.txt,ITM-SST 1407.3 — ITM-SST 1407.3,12
ITM-SST 1407.1,fr,itm-cl-1100-2000,ITM-SST-1407-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1407-1.pdf,corpus/itm/pdf/ITM-SST-1407-1.pdf,corpus/itm/txt/ITM-SST-1407-1.txt,ITM-SST 1407.1 — Ville de Luxembourg. — Sécurité relative aux travaux en hauteur sur corde — -        Assurage en zone à risque de chute,34331
ITM-SST 1408.2,fr,itm-cl-1100-2000,ITM-SST-1408-2.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1408-2.pdf,corpus/itm/pdf/ITM-SST-1408-2.pdf,corpus/itm/txt/ITM-SST-1408-2.txt,ITM-SST 1408.2 — Prescriptions de sécurité types — CHANTIERS DE CONSTRUCTION ET DE DÉMOLITION — Table des matières,58411
ITM-SST 1408.1,fr,itm-cl-1100-2000,ITM-SST-1408-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1408-1.pdf,corpus/itm/pdf/ITM-SST-1408-1.pdf,corpus/itm/txt/ITM-SST-1408-1.txt,ITM-SST 1408.1 — Prescriptions de sécurité types — CHANTIERS DE CONSTRUCTION ET DE DÉMOLITION — 1.                    Objectifs et législation                                   ,55804
ITM-SST 1500.4,fr,itm-cl-1100-2000,itm-sst-1500-4.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/itm-sst-1500-4.pdf,corpus/itm/pdf/itm-sst-1500-4.pdf,corpus/itm/txt/itm-sst-1500-4.txt,ITM-SST 1500.4 — le Corps grand-ducal d’incendie et de secours. — Version du 19 décembre 2024 — Prescriptions de prévention incendie,54836
