building_id,lon,lat,n_addresses,adresse_ejemplo,parcel_ref,parcel_label,parcel_area_m2
Building2D.ACT_083cd75e-0006-474e-b0ac-237005911308,6.2151736,49.8743027,1,"8, Fraeschegaass, 9353 Bettendorf, Luxembourg",013A00258005092,258/5092,3215.44
Building2D.ACT_08637d89-50b1-4c58-8c7d-55af3aad7881,6.2417358,49.8647217,2,"4E, Route de Diekirch, 9381 Moestroff, Luxembourg",013B01508002165,1508/2165,588.7
Building2D.ACT_086c24da-ed26-41da-bf80-fd315706fbe5,6.175672,49.867064,0,,030B00016000613,16/613,3430.2
Building2D.ACT_08930381-db4c-4bf1-84e7-6e0b85774b07,6.256754,49.883145,1,"11, Maison, 9456 Hoesdorf, Luxembourg",096A00043000218,43/218,85.49
Building2D.ACT_08a3d05b-2ed4-40c7-bb52-97698f0d77ee,6.2401029,49.8686614,1,"25D, Route de Diekirch, 9381 Moestroff, Luxembourg",013B01452002264,1452/2264,1285.97
Building2D.ACT_08d42ec7-4b5e-4e55-976a-8c8d782940ef,6.213162,49.875522,1,"11, Cité Hanner Zengen, 9352 Bettendorf, Luxembourg",013A00308005617,308/5617,331.21
Building2D.ACT_09218533-5898-41b7-8a37-476fd441a861,6.176304,49.85874,0,,013C02464003244,2464/3244,5386.93
Building2D.ACT_0926a6ea-9b2b-45b5-82de-ba124bcd265c,6.2153589,49.8745422,1,"1B, Fraeschegaass, 9353 Bettendorf, Luxembourg",013A00245005675,245/5675,249.53
Building2D.ACT_093bd294-b299-4a71-b5aa-92b5a0571be2,6.2182343,49.8726886,0,,013A02729005116,2729/5116,29553.63
Building2D.ACT_09672b3e-a2bb-412f-9e85-c5901a0bf48b,6.1810416,49.8660932,0,,013C00511004425,511/4425,560.12
Building2D.ACT_097712cf-253a-4bea-854d-8d28228be44e,6.185058,49.867484,1,"16, Rue des Prés, 9371 Gilsdorf, Luxembourg",013C00335004558,335/4558,700.46
Building2D.ACT_097d3249-97fa-45e9-89b7-897a0f174969,6.2226229,49.8761414,1,"14, Cité du 20 janvier 1945, 9353 Bettendorf, Luxembourg",013A00497005735,497/5735,381.13
Building2D.ACT_099692e9-2ce7-4574-84e5-ce6d75f55a79,6.2391287,49.8706969,1,"13A, Route de Diekirch, 9381 Moestroff, Luxembourg",013B01419002206,1419/2206,457.2
Building2D.ACT_09bff64b-64e9-4c59-9b79-9271c2574f24,6.2050356,49.8631867,2,"1, Schoofsbësch, 9353 Bettendorf, Luxembourg",013A02855004023,2855/4023,27550.49
Building2D.ACT_0a13b2cb-e989-410b-a8c8-cf9e27107c73,6.20729,49.897814,1,"21, Am Duerf, 9459 Longsdorf, Luxembourg",047C00009000000,9,795.74
Building2D.ACT_0a185778-e6b5-4e3a-916d-89b81da738c8,6.1786071,49.8666557,1,"16, Rue des Jardins, 9371 Gilsdorf, Luxembourg",013C00562004640,562/4640,1738.5
Building2D.ACT_0a1c9c9a-38ca-44cb-b24f-1d22223b76b4,6.1752211,49.8690361,1,"141, Rue Clairefontaine, 9221 Diekirch, Luxembourg",030A02725006991,2725/6991,821.36
Building2D.ACT_0a44d2b5-a0e8-43df-816f-543105741d6c,6.2230529,49.8730562,0,,013A02762005044,2762/5044,773.71
Building2D.ACT_0a771800-ecd6-42e4-b382-263a5ffc7ec5,6.210712,49.87629,0,,013A00305004862,305/4862,6444.24
Building2D.ACT_0a879b2a-f8f5-4e9a-9bf6-f0eaa12b1ab2,6.2566786,49.88599,0,,096A00486001703,486/1703,2348.53
Building2D.ACT_0a884e4d-e4d1-4794-831c-47e4a8b2d837,6.2058247,49.8962905,0,,047C00167000184,167/184,85713.94
Building2D.ACT_0a8e999b-27af-40fd-9d68-dcfb0f873168,6.1893643,49.8724229,0,,013A02970005130,2970/5130,5738.26
Building2D.ACT_0a99f214-91d5-42a6-bc53-e4a9069132d5,6.256758,49.883312,0,,096A00047001790,47/1790,607.32
Building2D.ACT_0aa5f650-4a57-4a9f-816f-3ca0343dc8e9,6.1711086,49.8688357,1,"91, Rue Clairefontaine, 9220 Diekirch, Luxembourg",030A02802001199,2802/1199,94.19
Building2D.ACT_0ae2425a-0064-439f-a338-9fa5a3ca65c4,6.2622733,49.8677122,1,"2, Rue de la Gare, 9391 Reisdorf, Luxembourg",096C00810003130,810/3130,530.92
Building2D.ACT_0af2bf05-d29c-4b6b-b50e-8b2ecadc8dbe,6.21805,49.87465,0,,013A00187005334,187/5334,17.97
Building2D.ACT_0af350cb-f7eb-4224-b68e-c0adad7bbe4d,6.1860954,49.8708577,1,"35, Rue Clairefontaine, 9221 Gilsdorf, Luxembourg",013C02796003349,2796/3349,515.06
Building2D.ACT_0b2b7f22-2ab5-42f0-8f65-312b9f6dedd8,6.2173527,49.8792118,1,"8, Am Bongert, 9357 Bettendorf, Luxembourg",013A00440005169,440/5169,662.44
Building2D.ACT_0b3395e6-01fa-4447-9d7e-45628c23aeac,6.1772309,49.8691136,1,"171, Rue Clairefontaine, 9221 Diekirch, Luxembourg",030A02702005523,2702/5523,163.07
Building2D.ACT_0b5ba22f-7252-4328-8def-a409021b6401,6.1800033,49.8657944,0,,013C00540004636,540/4636,709.48
Building2D.ACT_0b82a1e7-b592-4045-9486-b7053c5f2484,6.209436,49.873964,0,,013A00310005856,310/5856,6867.97
Building2D.ACT_0bfc72a2-1c77-435b-8068-f67660921e44,6.239749,49.86321,1,"27, Rue de l'Eglise, 9382 Moestroff, Luxembourg",013B00088002059,88/2059,842.92
Building2D.ACT_0bff7b66-ce15-4021-9b36-23c553093506,6.1879442,49.8791653,2,"3, Veianerstrooss, 9359 Seltz, Luxembourg",004D02197003639,2197/3639,3237.35
Building2D.ACT_0c247b84-3afe-49f2-9c44-2dd7400d565d,6.181972,49.8666293,1,"45A, Rue Principale, 9370 Gilsdorf, Luxembourg",013C00487001967,487/1967,502.4
Building2D.ACT_0c2b9ef1-4a1a-47ed-8c00-1cb91cded189,6.21781,49.870666,0,,013A02698005668,2698/5668,426.52
Building2D.ACT_0c481be4-05e8-409d-8e39-1bbd5e312657,6.17279,49.8634864,1,"11, Um Aale Waasser, 9370 Gilsdorf, Luxembourg",013C02034004512,2034/4512,2059.75
Building2D.ACT_0c861164-9f5c-49dd-897b-caa6fb310fca,6.237737,49.868296,2,"1, Im Wohweg, 9382 Moestroff, Luxembourg",013B00315002197,315/2197,1634.54
