building_id,lon,lat,n_addresses,adresse_ejemplo,parcel_ref,parcel_label,parcel_area_m2
Building2D.ACT_123a68a9-4eb6-4703-b78c-f9e69ea4a7f2,6.1289886,49.6124966,5,"11, Rue Beaumont, 1219 Luxembourg, Luxembourg",075F00123001826,123/1826,310.76
Building2D.ACT_123dd0c3-23e3-4d82-bbe4-712bcbc2d43f,6.1284095,49.6122715,2,"64, Grand-Rue, 1660 Luxembourg, Luxembourg",075F00118000000,118,95.48
Building2D.ACT_124f030c-7e5a-48c8-a92f-d90430e32c9d,6.1275439,49.611769,3,"10, Rue Beck, 1222 Luxembourg, Luxembourg",075F00184002448,184/2448,509.06
Building2D.ACT_12688adb-60bf-48cb-b841-1c886018f45f,6.1336577,49.6112327,5,"13, Rue du Rost, 2447 Luxembourg, Luxembourg",075F00561002428,561/2428,501.39
Building2D.ACT_126cbd66-3ba0-4f97-8cdd-517a7917019a,6.12904,49.6105816,1,"6, Rue Louvigny, 1946 Luxembourg, Luxembourg",075F00457000012,457/12,183.01
Building2D.ACT_1296e687-441b-4fe1-990b-99d66f2971d9,6.1283983,49.6116104,1,"7, Rue Philippe II, 2340 Luxembourg, Luxembourg",075F00156001850,156/1850,523.98
Building2D.ACT_1325fdd6-2658-4401-94d2-458514835002,6.1249937,49.60792,1,"9, Rue de la Semois, 2533 Luxembourg, Luxembourg",061A00301007223,301/7223,171.4
Building2D.ACT_13595a6b-c707-4637-a5f2-a0c285ae5104,6.1334032,49.6090948,1,"11, Rue du St Esprit, 1475 Luxembourg, Luxembourg",075F00642000577,642/577,162.08
Building2D.ACT_137e5bab-025c-49c0-8976-7146aef94a52,6.1253211,49.61145,2,"22, Boulevard Royal, 2449 Luxembourg, Luxembourg",075F00738002320,738/2320,2203.35
Building2D.ACT_13e858a4-b49a-47a4-aa26-afca6219e342,6.12981,49.6108614,2,"3, Rue Chimay, 1333 Luxembourg, Luxembourg",075F00467000000,467,151.81
Building2D.ACT_140111f4-bb32-438e-8886-70ba8933435e,6.1286787,49.6106006,1,"14, Rue Louvigny, 1946 Luxembourg, Luxembourg",075F00452000390,452/390,98.25
Building2D.ACT_1486c3af-a589-4515-b954-85861b1a6aaf,6.1282538,49.6104967,2,"24, Rue Louvigny, 1946 Luxembourg, Luxembourg",075F00446002138,446/2138,125.96
Building2D.ACT_1489986c-c493-46a5-9790-10679b076c51,6.1324876,49.6106957,1,"20, Rue du Marché-aux-Herbes, 1728 Luxembourg, Luxembourg",075F00621000000,621,130.47
