building_id,lon,lat,area_m2,tipo,n_addresses,adresse_ejemplo,parcel_capakey,parcel_niscode,nis_total_edificios,nis_pct_pre1946,nis_pct_post1981,nis_pct_calefaccion,nis_viviendas,nis_epeil_medio
1642336,4.3545581,50.8458995,49,,1,"Rue de la Madeleine 11, 1000 Bruxelles",21004A0955/00A000,21004,27440,69.0,9.2,75.6,98852,
1645653,4.3545541,50.8460832,46,,1,"Rue de la Madeleine 3, 1000 Bruxelles",21004A0951/00B000,21004,27440,69.0,9.2,75.6,98852,
1640154,4.354573,50.8461359,55,,1,"Rue de la Madeleine 1, 1000 Bruxelles",21004A0950/00B000,21004,27440,69.0,9.2,75.6,98852,
1642347,4.3545702,50.8460082,36,,1,"Rue de la Madeleine 5A, 1000 Bruxelles",21004A0952/00D000,21004,27440,69.0,9.2,75.6,98852,
1644700,4.3541769,50.8453407,1984,,5,"Rue des Eperonniers 32, 1000 Bruxelles",21004A1078/00A000,21004,27440,69.0,9.2,75.6,98852,
1647946,4.3536955,50.8458266,160,,1,"Rue des Eperonniers 31, 1000 Bruxelles",21004A1112/00D000,21004,27440,69.0,9.2,75.6,98852,
1606565,4.3536782,50.8450139,97,,1,"Rue Duquesnoy 33, 1000 Bruxelles",21004A1050/00A002,21004,27440,69.0,9.2,75.6,98852,
1656017,4.353702,50.8451248,58,,1,"Rue de l'Homme Chrétien 7, 1000 Bruxelles",21004A1050/00B002,21004,27440,69.0,9.2,75.6,98852,
1637726,4.3537062,50.8457471,42,,1,"Rue des Eperonniers 35, 1000 Bruxelles",21004A1114/00_000,21004,27440,69.0,9.2,75.6,98852,
1611082,4.3537929,50.8450298,129,,2,"Rue Duquesnoy 31, 1000 Bruxelles",21004A1050/00B002,21004,27440,69.0,9.2,75.6,98852,
1647994,4.353746,50.8457692,32,,2,"Rue des Eperonniers 33, 1000 Bruxelles",21004A1113/00_000,21004,27440,69.0,9.2,75.6,98852,
1644640,4.3540625,50.8455162,756,,3,"Rue des Eperonniers 26, 1000 Bruxelles",21004A1083/00B000,21004,27440,69.0,9.2,75.6,98852,
1670753,4.3539279,50.8458884,37,,1,"Rue des Eperonniers 23, 1000 Bruxelles",21004A1109/00_000,21004,27440,69.0,9.2,75.6,98852,
1609996,4.3540383,50.8457795,49,,0,,21004A1084/00A000,21004,27440,69.0,9.2,75.6,98852,
1800713,4.3543774,50.8456121,705,,6,"Rue des Eperonniers 20, 1000 Bruxelles",21004A1683/00A000,21004,27440,69.0,9.2,75.6,98852,
1784287,4.3541267,50.8458311,25,,1,"Rue des Eperonniers 18, 1000 Bruxelles",21004A1085/00_000,21004,27440,69.0,9.2,75.6,98852,
1778347,4.3542068,50.8458435,49,,1,"Rue des Eperonniers 16, 1000 Bruxelles",21004A1086/00C000,21004,27440,69.0,9.2,75.6,98852,
1652411,4.3542052,50.8458939,23,,1,"Rue des Eperonniers 14, 1000 Bruxelles",21004A1087/00_000,21004,27440,69.0,9.2,75.6,98852,
1651471,4.3544151,50.8457976,540,,25,"Rue de la Madeleine 13, 1000 Bruxelles",21004A0956/00H000,21004,27440,69.0,9.2,75.6,98852,
1650414,4.3545616,50.8454685,332,,5,"Rue de la Madeleine 27, 1000 Bruxelles",21004A0963/00C000,21004,27440,69.0,9.2,75.6,98852,
1643503,4.3545825,50.8456783,77,,1,"Rue de la Madeleine 19, 1000 Bruxelles",21004A0959/00F000,21004,27440,69.0,9.2,75.6,98852,
1644667,4.3545832,50.8456324,52,,1,"Rue de la Madeleine 21, 1000 Bruxelles",21004A0960/00A000,21004,27440,69.0,9.2,75.6,98852,
1645706,4.3545848,50.8457279,86,,10,"Rue de la Madeleine 17, 1000 Bruxelles",21004A0958/00F000,21004,27440,69.0,9.2,75.6,98852,
1784310,4.3546771,50.8456228,46,,2,"Rue de la Madeleine 23, 1000 Bruxelles",21004A0961/00A000,21004,27440,69.0,9.2,75.6,98852,
1642312,4.354676,50.8454361,82,,1,"Rue de la Madeleine 29, 1000 Bruxelles",21004A0964/00A000,21004,27440,69.0,9.2,75.6,98852,
1670745,4.3546453,50.8457868,35,,1,"Rue de la Madeleine 15, 1000 Bruxelles",21004A0957/00B000,21004,27440,69.0,9.2,75.6,98852,
1784312,4.354685,50.8450723,51,,1,"Rue Duquesnoy 12, 1000 Bruxelles",21004A0970/00L000,21004,27440,69.0,9.2,75.6,98852,
1643480,4.3546978,50.8453904,155,,1,"Rue de la Madeleine 31, 1000 Bruxelles",21004A0965/00R000,21004,27440,69.0,9.2,75.6,98852,
1639034,4.3547671,50.8451008,87,,0,,21004A0971/00B000,21004,27440,69.0,9.2,75.6,98852,
1784311,4.3547263,50.8453076,48,,4,"Rue Duquesnoy 3, 1000 Bruxelles",21004A0966/00B000,21004,27440,69.0,9.2,75.6,98852,
1643548,4.3547586,50.8449989,43,,0,,21004A0973/00C000,21004,27440,69.0,9.2,75.6,98852,
1643515,4.3548829,50.8450763,147,,2,"Rue de la Madeleine 45, 1000 Bruxelles",21004A0972/00B000,21004,27440,69.0,9.2,75.6,98852,
1650378,4.3548165,50.8453543,55,,1,"Rue de la Madeleine 33, 1000 Bruxelles",21004A0966/00A000,21004,27440,69.0,9.2,75.6,98852,
1651406,4.3548531,50.8453283,50,,4,"Rue Duquesnoy 1, 1000 Bruxelles",21004A0967/00C000,21004,27440,69.0,9.2,75.6,98852,
1645719,4.3549049,50.8451326,90,,5,"Rue Duquesnoy 8, 1000 Bruxelles",21004A0971/00B000,21004,27440,69.0,9.2,75.6,98852,
1634373,4.3532403,50.844981,119,,3,"Rue des Eperonniers 54, 1000 Bruxelles",21004A1045/00A000,21004,27440,69.0,9.2,75.6,98852,
1635494,4.3532112,50.845285,61,,4,"Rue des Eperonniers 55, 1000 Bruxelles",21004A1163/00E000,21004,27440,69.0,9.2,75.6,98852,
1641087,4.3532166,50.8453377,62,,2,"Rue des Eperonniers 51, 1000 Bruxelles",21004A1161/00D000,21004,27440,69.0,9.2,75.6,98852,
1785773,4.3533174,50.8458966,162,,1,"Rue du Marché aux Fromages 16, 1000 Bruxelles",21004A1126/00E000,21004,27440,69.0,9.2,75.6,98852,
1613510,4.3532425,50.8454757,72,,2,"Rue du Marché aux Fromages 31, 1000 Bruxelles",21004A1157/00_000,21004,27440,69.0,9.2,75.6,98852,
1636587,4.3533006,50.8450277,59,,1,"Rue des Eperonniers 52, 1000 Bruxelles",21004A1046/00C000,21004,27440,69.0,9.2,75.6,98852,
1642239,4.3532618,50.8453711,51,,2,"Rue des Eperonniers 47, 1000 Bruxelles",21004A1161/00D000,21004,27440,69.0,9.2,75.6,98852,
1653189,4.353286,50.8454267,51,,1,"Rue des Eperonniers 43, 1000 Bruxelles",21004A1160/00A000,21004,27440,69.0,9.2,75.6,98852,
1614615,4.353379,50.8458712,183,,5,"Rue du Marché aux Fromages 18, 1000 Bruxelles",21004A1125/00B000,21004,27440,69.0,9.2,75.6,98852,
1664082,4.3532823,50.8450843,41,,1,"Rue des Eperonniers 50, 1000 Bruxelles",21004A1047/00B000,21004,27440,69.0,9.2,75.6,98852,
1771942,4.3533211,50.8453882,39,,3,"Rue des Eperonniers 45, 1000 Bruxelles",21004A1160/00A000,21004,27440,69.0,9.2,75.6,98852,
1644464,4.3533282,50.8451179,38,,1,"Rue des Eperonniers 48, 1000 Bruxelles",21004A1048/00A000,21004,27440,69.0,9.2,75.6,98852,
1641302,4.353437,50.8458219,188,,2,"Rue du Marché aux Fromages 20, 1000 Bruxelles",21004A1124/00G000,21004,27440,69.0,9.2,75.6,98852,
1604258,4.3534514,50.8451899,226,,2,"Rue des Eperonniers 42, 1000 Bruxelles",21004A1050/00Y000,21004,27440,69.0,9.2,75.6,98852,
1656020,4.3533619,50.8454653,58,,1,"Rue du Marché aux Fromages 35, 1000 Bruxelles",21004A1158/00_000,21004,27440,69.0,9.2,75.6,98852,
1650411,4.3533829,50.8449365,102,,1,"Rue Duquesnoy 41, 1000 Bruxelles",21004A1029/00B003,21004,27440,69.0,9.2,75.6,98852,
1645566,4.353373,50.8450471,46,,0,,21004A1047/00B000,21004,27440,69.0,9.2,75.6,98852,
1613442,4.3534501,50.8457312,75,,2,"Rue du Marché aux Fromages 22, 1000 Bruxelles",21004A1120/00_000,21004,27440,69.0,9.2,75.6,98852,
1608867,4.3534741,50.8450325,119,,0,,21004A1050/00X000,21004,27440,69.0,9.2,75.6,98852,
1600678,4.3534677,50.8449318,103,,2,"Rue Duquesnoy 39, 1000 Bruxelles",21004A1050/00X000,21004,27440,69.0,9.2,75.6,98852,
1636713,4.3534984,50.8456721,79,,2,"Rue du Marché aux Fromages 26, 1000 Bruxelles",21004A1118/00A000,21004,27440,69.0,9.2,75.6,98852,
1666461,4.3535199,50.8453113,116,,7,"Rue de l'Homme Chrétien 1, 1000 Bruxelles",21004A1051/00E000,21004,27440,69.0,9.2,75.6,98852,
1786996,4.3535331,50.8458064,72,,0,,21004A1112/00E000,21004,27440,69.0,9.2,75.6,98852,
1643393,4.3535557,50.8449612,86,,3,"Rue Duquesnoy 37, 1000 Bruxelles",21004A1050/00X000,21004,27440,69.0,9.2,75.6,98852,
1608830,4.3535278,50.8451216,43,,0,,21004A1050/00Y000,21004,27440,69.0,9.2,75.6,98852,
1598399,4.3535741,50.8457002,75,,4,"Rue des Eperonniers 39, 1000 Bruxelles",21004A1117/00A000,21004,27440,69.0,9.2,75.6,98852,
