building_id,hauteur_m
ACT_14093176-fea3-4e34-87de-e76a5c01c82b,9.657
ACT_143da7c6-7773-4720-abb5-4c66192da9b4,10.492
ACT_1441aacd-6c47-414c-af3a-29e222c8b2f4,11.592
ACT_14504513-245e-4b42-8aca-0cb2e4110e50,6.248
ACT_1475feef-fa0f-458d-88b8-8d1329532f9b,11.799
ACT_14d5f1d6-c5ef-480f-b315-47dd808ff23d,8.308
ACT_14f718e1-ffc0-4ec4-99c1-9f1f56adf140,3.965
ACT_15204c3f-345a-43f5-9025-4b612620c8bc,11.206
ACT_1566ae0a-3850-4d4e-a9a0-9f98a37a9860,6.042
ACT_15c2eacc-6489-4dc5-a0f1-282eaaf66ff6,11.852
ACT_15c7567e-cf3c-4ca8-9a88-d175cd412a15,8.342
ACT_1624ce51-60dd-4b3c-b6be-85b88832f64a,8.08
ACT_1654c7f0-5093-461b-b5c7-45190afa7ec4,11.567
ACT_16a3f029-cb5c-410f-8887-6dcb01fe0418,3.805
ACT_16bfd4a5-9972-4a1f-9899-53828bbd5d69,9.941
ACT_16c40488-49ff-4be5-b05e-03f8e10bc9ee,12.302
ACT_16ffcf1b-152a-44de-9153-7a2119a3c2bf,9.717
ACT_170e9975-6fcc-42f1-852a-ba1d00625ace,11.437
ACT_171af5ce-23e6-42c4-8aba-6021bc658223,9.056
ACT_177257de-9095-406f-b109-af214e50e5ff,10.275
ACT_1775f610-b2df-47cb-9397-0c2ef952a4f4,9.2
ACT_17762fa7-3066-4618-87e9-7d875c27597b,7.978
ACT_1780ad79-2b3e-425a-88d7-b65933533725,7.951
ACT_17828967-64e9-4534-950e-e3fe51682c50,8.661
ACT_178e38e0-0e46-4375-81a9-e09ba06cb36d,9.73
ACT_180ee2bc-7105-4985-9c50-b9424120bb1c,7.811
ACT_1881fbdc-c8fe-4716-abd2-29effb1105d6,12.149
ACT_18923e9b-af68-4441-8297-1a381e5d6f6f,12.926
ACT_189f36ac-c602-47a2-a483-eded659d3299,9.245
ACT_18a67ef5-53cd-43fa-803e-68093bc6432e,8.283
ACT_18b0975c-7cf4-43d1-8002-d104319e6306,9.175
ACT_18cf8f58-44a0-4bb9-8ce5-1751129f9a67,12.371
ACT_190f217d-f43a-4020-9111-3514506e3250,28.558
ACT_194c4e0d-b20b-4375-a0fd-c7364335c780,12.222
ACT_19ec1ac8-32ff-4020-9b1b-7bb436850eb1,11.681
ACT_1a149be6-d331-45dd-aca7-22991f162078,7.346
ACT_1a91fb84-d2cc-494a-aa32-3289f3b94f24,10.524
ACT_1a920c59-cd4a-45b3-8b61-5c3867bfe68b,11.461
ACT_1af80975-4343-433d-87d6-c793a5a0136c,10.024
ACT_1b0b23a9-2b58-45fb-8503-c9281b06d47a,4.481
ACT_1b8230e5-321e-4c56-90b5-cca93adddce5,7.605
ACT_1bbc8e85-62df-49fb-89ad-8aaf7042e1fc,11.28
ACT_1bdaa163-59da-4031-a187-969bfafc5468,12.785
ACT_1c4153df-2381-4817-a4bb-20a50aaa2518,6.651
ACT_1c6152a3-35b4-4ecc-952f-267e6ea79eba,8.558
ACT_1c617d1c-8cd3-4aa9-81b5-b9ea397f9446,4.766
ACT_1c6737d1-abd4-472d-a12c-e27e1a68c6ec,10.061
ACT_1c91c440-0eba-479c-b8fd-2401a899b3fd,9.04
ACT_1cd88abb-aed5-4ab6-914b-69418269d6b8,3.429
ACT_1ce5ce29-935a-4138-91b2-3f47dec0654f,5.42
ACT_1d126872-07a6-4b5a-b8a8-d8a90d2effa0,3.271
ACT_1d1417fa-aadf-4d3c-9ff1-92cf12b63660,13.088
ACT_1d389b14-3d36-4bb8-a001-e64764ad7f98,9.599
ACT_1d571173-0bc0-486b-9d06-dff789cbe494,9.663
ACT_1d8391fb-7431-449b-add1-852ec28e8d33,11.296
ACT_1dbaf429-538a-4e3a-9182-3b6e1c1a28b8,10.755
ACT_1de2b9d3-b116-4101-b9f0-78817232389c,8.457
ACT_1e1621ca-19ef-49e2-a5a0-c9e83615ee79,5.798
ACT_1e1a16a1-092f-4a22-87ad-3fe182d6cedf,9.152
ACT_1e32e378-77df-4c57-99d9-9e2397fbcebe,2.969
ACT_1e8a2a38-45a0-4205-830b-8bfbca91ea17,6.142
ACT_1ead0eec-1073-4d2d-8d3d-d7c79886e042,12.008
ACT_1edb11c9-3d02-4f9c-ac78-ea9c063255bc,11.545
ACT_1f31168b-9194-4792-a5c4-01f750277109,7.753
ACT_1f337d38-242e-4c08-9e38-994bac634809,4.014
ACT_1f3e7d2b-d7d5-413a-99c0-7c9b53b50f39,6.725
ACT_1f567c2e-58de-4a82-b45b-6d9d04f7ae65,10.878
ACT_1f783d06-273e-4481-b66d-6ac3ff777549,11.872
