numero_dpe,date_etablissement_dpe,id_rnb,identifiant_ban,adresse_ban,code_postal_ban,nom_commune_ban,code_departement_ban,type_batiment,periode_construction,annee_construction,surface_habitable_logement,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ep,rnb_status,rnb_lon,rnb_lat,rnb_insee_code,rnb_n_addresses,rnb_match,bdnb_batiment_groupe_id,bdnb_hauteur,bdnb_s_geom_cstr,bdnb_altitude_sol,bdnb_annee_construction,bdnb_mat_mur,bdnb_mat_toit,bdnb_nb_niveau,bdnb_nb_log,bdnb_usage,bdnb_alea_argiles,alea_argiles_final,alea_argiles_source
2675E1528826C,2026-06-08,MJ8ZTZ38EJSZ,75115_0012_00029,29 Rue de l'Abbé Groult 75015 Paris,75015,Paris,75,appartement,1975-1977,1975,22.5,E,E,250.6,constructed,2.294887846675796,48.841793498210876,75115,2,id_rnb,bdnb-bg-6Z79-ATZ4-T5M6,21.4,430,32.2,1900,INDETERMINE,INDETERMINE,8,74,Résidentiel collectif,,Non exposé,Géorisques
2675E1529128S,2026-06-08,FCWS1X7GYXCH,75112_5866_00025,25 Rue de Lyon 75012 Paris,75012,Paris,75,appartement,avant 1948,,33.4,E,C,335,constructed,2.371309653934481,48.8475455129431,75112,2,id_rnb,bdnb-bg-KV79-FMY1-9M9D,19.4,170,34.1,1860,BRIQUES - MEULIERE,ZINC ALUMINIUM,6,15,Résidentiel collectif,,Non exposé,Géorisques
2675E1527724S,2026-06-08,8Y781ZV9D6RN,75115_3177_00027,27 Rue de l'Eglise 75015 Paris,75015,Paris,75,appartement,avant 1948,,24.4,G,C,577,constructed,2.286541352435898,48.84485761024335,75115,1,id_rnb,bdnb-bg-E7LM-SGEA-4WSJ,8.2,75,31.1,1880,AUTRES,TUILES - ZINC ALUMINIUM,5,19,Résidentiel collectif,,Non exposé,Géorisques
2675E1535407F,2026-06-08,F2TCW6JB14BQ,75115_7845_00007,7 Rue de la Procession 75015 Paris,75015,Paris,75,appartement,1978-1982,,49.7,D,B,190,constructed,2.305598403957124,48.840235926781794,75115,1,id_rnb,bdnb-bg-W6HL-UW56-3E6R,18.2,211,46.0,1982,BETON,BETON,7,24,Résidentiel collectif,,Non exposé,Géorisques
2675E1536930U,2026-06-08,9D38PY5XBBKY,75111_7457_00013,13 Rue de la Pierre Levée 75011 Paris,75011,Paris,75,appartement,avant 1948,1875,21.1,G,D,490,constructed,2.370206077878504,48.867460614773,75111,1,id_rnb,bdnb-bg-CHC9-D2X8-Y658,16.8,266,38.5,1875,BETON - BOIS,ZINC ALUMINIUM,7,38,Résidentiel collectif,,Non exposé,Géorisques
2675E1534192M,2026-06-08,ZAFF52YFD26R,75118_6036_00038,38 Rue Marc Séguin 75018 Paris,75018,Paris,75,appartement,avant 1948,1900,28.2,D,B,271.8,constructed,2.360539582649754,48.89216007453177,75118,1,id_rnb,bdnb-bg-TBZH-M6UD-SU7B,21.9,77,52.0,1880,BRIQUES - MEULIERE,ZINC ALUMINIUM,6,11,Résidentiel collectif,,Non exposé,Géorisques
2675E1535452Y,2026-06-08,HYP2J1BHYBK5,75117_4927_00006,6 Rue Jean Moréas 75017 Paris,75017,Paris,75,appartement,avant 1948,1930,70.8,E,E,280.1,constructed,2.292499493911449,48.88694532253719,75117,1,id_rnb,bdnb-bg-PQYN-16LV-F5VF,26.1,239,35.1,1900,BETON - PIERRE,ARDOISES,8,22,Résidentiel collectif,,Non exposé,Géorisques
2675E1528724E,2026-06-08,1FPZE3HA9GWJ,75110_2799_00012,12 Rue Dieu 75010 Paris,75010,Paris,75,appartement,avant 1948,,22.2,C,B,204,constructed,2.36497537133985,48.87039103967368,75110,1,id_rnb,bdnb-bg-1N56-J896-HASF,15.8,212,36.0,2002,BETON - BRIQUES,BETON - TUILES,5,22,Résidentiel collectif,,Non exposé,Géorisques
2675E1536668S,2026-06-08,H49NQZCZK364,75105_8421_00009,9 Rue Royer-Collard 75005 Paris,75005,Paris,75,appartement,avant 1948,1900,54.7,G,C,570.1,constructed,2.341870060871694,48.84565352254319,75105,1,id_rnb,bdnb-bg-TQT9-3U6N-RLE1,21.1,192,56.8,1780,AGGLOMERE - PIERRE,ZINC ALUMINIUM,6,10,Résidentiel collectif,,Non exposé,Géorisques
2675E1529373D,2026-06-08,E58HP8EG4HJF,75119_3308_00020,20 Rue de l'Equerre 75019 Paris,75019,Paris,75,appartement,avant 1948,1900,32.3,F,F,335.2,constructed,2.382467834668464,48.87437336546633,75119,1,id_rnb,bdnb-bg-XGAF-B6W7-V7WA,19.2,229,77.3,1910,BRIQUES - PIERRE,ZINC ALUMINIUM,5,25,Résidentiel collectif,,Non exposé,Géorisques
2675E1532976S,2026-06-08,JA1PE67H4299,75112_4552_00001,1 Rue Henri Desgrange 75012 Paris,75012,Paris,75,appartement,1989-2000,,125.5,C,C,99,constructed,2.380758262010176,48.83924875204807,75112,1,id_rnb,bdnb-bg-GX8B-X3W1-JNJR,26.3,142,32.6,,,,,,,,Non exposé,Géorisques
2675E1528840Q,2026-06-08,R4MRBZCC64MC,75104_9191_00014,14 Rue du Temple 75004 Paris,75004,Paris,75,appartement,avant 1948,1850,92.1,B,A,98,constructed,2.353865542177969,48.85808597809047,75104,2,id_rnb,bdnb-bg-XQ3K-4PP6-WNF3,19.4,1503,36.0,1850,BOIS - PIERRE,ZINC ALUMINIUM,7,23,Tertiaire & Autres,,Non exposé,Géorisques
2675E1534112K,2026-06-08,P178R2SAE5ZV,75109_8289_00037,37 Rue Marguerite de Rochechouart 75009 Paris,75009,Paris,75,appartement,avant 1948,1880,21.8,D,D,202,constructed,2.344875935018778,48.8785633768023,75109,3,id_rnb,bdnb-bg-F9U5-1BFR-T1JF,19.2,1010,47.2,,,,,,,,Non exposé,Géorisques
2675E1526078K,2026-06-08,7D6N693W1WT8,75114_7510_00024,24 Rue de Plaisance 75014 Paris,75014,Paris,75,appartement,avant 1948,,17.7,C,B,240,constructed,2.31934627168094,48.832870647609184,75114,1,id_rnb,bdnb-bg-DP41-44VX-L5KZ,18.5,57,62.2,1870,PIERRE,ZINC ALUMINIUM,5,10,Résidentiel collectif,,Non exposé,Géorisques
2675E1535466M,2026-06-08,S6FPGM6KKPCH,75111_0783_00028,28 Boulevard Beaumarchais 75011 Paris,75011,Paris,75,appartement,avant 1948,,41.9,E,B,270,constructed,2.368824840654262,48.85599715822318,75111,2,id_rnb,bdnb-bg-AN9N-DADE-EAZF,20.0,206,35.2,1810,BRIQUES - AUTRES,ARDOISES - ZINC ALUMINIUM,7,15,Résidentiel collectif,,Non exposé,Géorisques
2675E1537899B,2026-06-08,V7D3NM9MQDM3,75108_7231_00005,5 Rue Pelouze 75008 Paris,75008,Paris,75,appartement,avant 1948,,255.1,B,A,75,constructed,2.318480006088278,48.88097114886658,75108,1,id_rnb,bdnb-bg-3QJ8-9MPJ-RT26,19.0,232,52.0,1920,MEULIERE - PIERRE,ZINC ALUMINIUM,7,5,Résidentiel collectif,,Non exposé,Géorisques
2675E1526326Y,2026-06-08,6NJAMMJRJFFS,75116_4116_00028,28 Rue George Sand 75016 Paris,75016,Paris,75,appartement,avant 1948,1925,31.7,F,E,355.3,constructed,2.267974899977413,48.85033778166125,75116,1,id_rnb,bdnb-bg-ZQCC-ABRT-PLF7,25.9,267,35.1,1925,BETON - PIERRE,BETON - ZINC ALUMINIUM,9,51,Résidentiel collectif,,Non exposé,Géorisques
2675E1534679F,2026-06-08,HJ9MHXDG2YYM,75115_2713_00012_b,12b Rue Desaix 75015 Paris,75015,Paris,75,appartement,avant 1948,1913,73.6,C,C,169,constructed,2.293976733883596,48.85400407861856,75115,2,id_rnb,bdnb-bg-DAN1-AES7-AZ7Q,20.8,277,33.8,1913,BETON - BRIQUES,ARDOISES - ZINC ALUMINIUM,7,10,Résidentiel collectif,,Non exposé,Géorisques
2675E1527579D,2026-06-08,P1D8WKJQ3J6Y,75111_3508_00084,84 Rue du Faubourg du Temple 75011 Paris,75011,Paris,75,immeuble,avant 1948,,,E,D,311,constructed,2.373695069422254,48.87049539076253,75111,1,id_rnb,bdnb-bg-K281-5YTT-QAAR,20.3,937,48.3,1911,BRIQUES - PIERRE,ZINC ALUMINIUM,7,61,Résidentiel collectif,,Non exposé,Géorisques
2675E1529356M,2026-06-08,1N21JQ81XAKA,75115_7267_00036,36 Rue Pérignon 75015 Paris,75015,Paris,75,appartement,avant 1948,,94.4,D,C,180,constructed,2.306186824754997,48.84692128951251,75115,2,id_rnb,bdnb-bg-11TZ-FCWB-ACAR,15.0,469,38.0,1950,BETON,INDETERMINE,5,10,Résidentiel collectif,,Non exposé,Géorisques
2675E1533941V,2026-06-08,JMW7VDHSEFTP,75111_9477_00025,25 Rue Trousseau 75011 Paris,75011,Paris,75,appartement,avant 1948,,43.7,F,F,355,constructed,2.378980128424067,48.85263899910045,75111,1,id_rnb,bdnb-bg-CSBK-T2CS-Q8Y8,13.6,181,35.1,1900,PIERRE,ARDOISES - TUILES,7,19,Résidentiel collectif,,Non exposé,Géorisques
2675E1531559F,2026-06-08,Z43B5ECXAZGK,75117_5538_00010,10 Rue Léon Cogniet 75017 Paris,75017,Paris,75,appartement,avant 1948,,95.4,E,E,284,constructed,2.302846083884037,48.881364390423286,75117,1,id_rnb,bdnb-bg-Q929-D2DJ-JSB6,19.6,258,40.9,1881,PIERRE,ZINC ALUMINIUM,7,18,Résidentiel collectif,,Non exposé,Géorisques
2675E1537085T,2026-06-08,CMDQXQJJ1NB9,75110_5907_00114,114 Boulevard de Magenta 75010 Paris,75010,Paris,75,appartement,avant 1948,1870,17,D,B,264.4,constructed,2.35394276060401,48.87902640724926,75110,4,id_rnb,bdnb-bg-EJYK-841L-53XN,21.2,568,50.2,1880,MEULIERE,ZINC ALUMINIUM,7,13,Tertiaire & Autres,,Non exposé,Géorisques
2675E1530721Z,2026-06-08,PCQK57QBJ9RZ,75115_0059_00007,7 Place Adolphe Chérioux 75015 Paris,75015,Paris,75,appartement,avant 1948,,60,D,D,142,constructed,2.30102320768139,48.8402672548615,75115,1,id_rnb,bdnb-bg-Q74R-4WS1-1RXA,23.8,278,41.5,1955,BETON - BRIQUES,ZINC ALUMINIUM,9,17,Résidentiel collectif,,Non exposé,Géorisques
2675E1534887F,2026-06-08,HTV9N3C1S47R,75118_6918_00088,88 Rue Ordener 75018 Paris,75018,Paris,75,appartement,avant 1948,,30.4,F,C,422,constructed,2.343022348874865,48.89284865239371,75118,1,id_rnb,bdnb-bg-L9MQ-JXZQ-RQZJ,19.2,155,58.5,1890,PIERRE,TUILES,7,11,Résidentiel collectif,,Non exposé,Géorisques
2675E1538350K,2026-06-08,VEQGW5PTVW93,75116_1143_00003,3 Avenue Boudon 75016 Paris,75016,Paris,75,appartement,1975-1977,,100.3,F,C,409,constructed,2.270074631486235,48.84959687691021,75116,1,id_rnb,bdnb-bg-AXC2-GRT7-1M6Y,17.8,643,30.7,1979,BETON - BRIQUES,BETON,7,51,Résidentiel collectif,,Non exposé,Géorisques
2675E1528094Y,2026-06-08,P1D8WKJQ3J6Y,75111_3508_00084,84 Rue du Faubourg du Temple 75011 Paris,75011,Paris,75,immeuble,avant 1948,,,F,D,375,constructed,2.373695069422254,48.87049539076253,75111,1,id_rnb,bdnb-bg-K281-5YTT-QAAR,20.3,937,48.3,1911,BRIQUES - PIERRE,ZINC ALUMINIUM,7,61,Résidentiel collectif,,Non exposé,Géorisques
2675E1532752C,2026-06-08,Q4DBYPZ6QVCK,75119_6671_00037,37 Rue de Nantes 75019 Paris,75019,Paris,75,appartement,avant 1948,,38.4,F,F,388,constructed,2.380945470088205,48.892373346151075,75119,1,id_rnb,bdnb-bg-HTFK-SVTQ-1RD8,17.8,160,51.0,1900,BRIQUES - MEULIERE,ZINC ALUMINIUM,7,48,Résidentiel collectif,,Non exposé,Géorisques
2675E1528721B,2026-06-08,1FPZE3HA9GWJ,75110_2799_00012,12 Rue Dieu 75010 Paris,75010,Paris,75,appartement,avant 1948,,22.2,C,B,204,constructed,2.36497537133985,48.87039103967368,75110,1,id_rnb,bdnb-bg-1N56-J896-HASF,15.8,212,36.0,2002,BETON - BRIQUES,BETON - TUILES,5,22,Résidentiel collectif,,Non exposé,Géorisques
2675E1536673X,2026-06-08,PQ5DRHDAKRBW,75101_5825_00009,9 Rue du Louvre 75001 Paris,75001,Paris,75,appartement,avant 1948,,49.7,C,A,148,constructed,2.341292018285354,48.86240046500224,75101,1,id_rnb,bdnb-bg-WCUV-987J-7QUZ,24.3,273,35.9,1880,PIERRE,ARDOISES - ZINC ALUMINIUM,8,13,Résidentiel collectif,,Non exposé,Géorisques
2675E1537140W,2026-06-08,R8Z39HER794M,75101_8855_00003,3 Rue Sauval 75001 Paris,75001,Paris,75,appartement,avant 1948,,19.9,C,A,197,constructed,2.342331470918364,48.861781994826856,75101,1,id_rnb,bdnb-bg-VQP9-6ZPL-WBY4,19.3,151,35.0,1750,MEULIERE,TUILES - ZINC ALUMINIUM,6,13,Résidentiel collectif,,Non exposé,Géorisques
2675E1538460Q,2026-06-08,JTDEHM4TZWX2,75117_2980_00004,4 Rue Dulong 75017 Paris,75017,Paris,75,appartement,avant 1948,,23.5,G,G,422,constructed,2.318274599994883,48.88348390029657,75117,1,id_rnb,bdnb-bg-7JDR-Z7ZF-DS33,17.6,225,50.5,1933,BRIQUES - PIERRE,ARDOISES - ZINC ALUMINIUM,8,60,Résidentiel collectif,,Non exposé,Géorisques
2675E1536005F,2026-06-08,3AREYKD5174Y,75112_2367_00018,18 Rue de Cotte 75012 Paris,75012,Paris,75,appartement,avant 1948,1900,49.5,E,B,262.9,constructed,2.378145726197763,48.849902314988654,75112,1,id_rnb,bdnb-bg-WVX9-KGD4-1MJD,17.5,266,35.0,1840,MEULIERE,ZINC ALUMINIUM,6,23,Résidentiel collectif,,Non exposé,Géorisques
2675E1531191B,2026-06-08,GM5RNQQN1JRP,75111_4939_00029,29 Rue Jean-Pierre Timbaud 75011 Paris,75011,Paris,75,immeuble,avant 1948,,,E,C,254,constructed,2.36909494951704,48.865665219132026,75111,2,id_rnb,bdnb-bg-74T8-95WM-78JQ,19.5,368,36.5,1740,AGGLOMERE - AUTRES,ZINC ALUMINIUM,8,27,Résidentiel collectif,,Non exposé,Géorisques
2675E1528533V,2026-06-08,EYAZ4A66FTA4,75109_1017_00016,16 Rue Bleue 75009 Paris,75009,Paris,75,appartement,avant 1948,,37,D,B,195,constructed,2.346089066545876,48.87609532199298,75109,1,id_rnb,bdnb-bg-J6H5-RH86-ALC6,19.0,393,36.0,1870,BRIQUES,ARDOISES - ZINC ALUMINIUM,7,12,Tertiaire & Autres,,Non exposé,Géorisques
2675E1531316W,2026-06-08,N747553RBXG2,75114_6522_00152,152 Boulevard du Montparnasse 75014 Paris,75014,Paris,75,appartement,avant 1948,,26.9,F,C,402,constructed,2.334207395493126,48.84023219072859,75114,1,id_rnb,bdnb-bg-9SWA-YLYL-33D8,14.9,161,56.0,1877,INDETERMINE,INDETERMINE,8,57,Résidentiel collectif,,Non exposé,Géorisques
2675E1526758O,2026-06-08,P6SDRQATCWH3,75105_4877_00023,23 Rue Jean de Beauvais 75005 Paris,75005,Paris,75,appartement,avant 1948,,20.6,G,G,695,constructed,2.346831725600425,48.84883069585632,75105,2,id_rnb,bdnb-bg-E3V1-TNJV-968Y,19.2,241,46.8,1905,BRIQUES,INDETERMINE,7,24,Résidentiel collectif,,Non exposé,Géorisques
2675E1536567V,2026-06-08,2HJSJJVRNJTZ,75117_7593_00032,32 Rue Poncelet 75017 Paris,75017,Paris,75,appartement,avant 1948,,56.2,E,E,263,constructed,2.29827156725932,48.879582642613876,75117,1,id_rnb,bdnb-bg-EVXL-ZDD9-3LXS,15.7,227,40.0,1870,MEULIERE - PIERRE,ARDOISES - ZINC ALUMINIUM,7,20,Résidentiel collectif,,Non exposé,Géorisques
2675E1529092I,2026-06-08,5WPTRWP2VEHN,75117_3549_00021,21 Rue de la Félicité 75017 Paris,75017,Paris,75,appartement,1948-1974,1961,70,E,E,313.4,constructed,2.31010706583553,48.88719718485964,75117,2,id_rnb,bdnb-bg-UYGJ-9FTW-Y6XL,10.4,405,43.0,1961,BRIQUES - PIERRE,ZINC ALUMINIUM,8,14,Résidentiel collectif,,Non exposé,Géorisques
2675E1538114I,2026-06-08,A24CG3CV3WFE,75118_7564_00016,16 Rue des Poissonniers 75018 Paris,75018,Paris,75,appartement,avant 1948,1825,18.7,G,C,708,constructed,2.350809183614152,48.88658806687836,75118,2,id_rnb,bdnb-bg-E4MQ-2EY4-E6SR,19.3,394,66.3,1825,BOIS - MEULIERE,ZINC ALUMINIUM,6,45,Résidentiel collectif,,Non exposé,Géorisques
2675E1532132G,2026-06-08,E9ABSQ8VA3TZ,75107_0620_00040,40 Rue du Bac 75007 Paris,75007,Paris,75,maison,avant 1948,,157.3,C,A,127,constructed,2.326528375768765,48.8572058881971,75107,1,id_rnb,bdnb-bg-C3XT-EF61-YTNH,15.8,398,34.0,,PIERRE,ARDOISES,5,10,Résidentiel collectif,,Non exposé,Géorisques
2675E1537278E,2026-06-08,YQJ3HAKSSRNG,75106_8484_00030,30 Rue Saint-André des Arts 75006 Paris,75006,Paris,75,appartement,avant 1948,,43.7,E,C,324,constructed,2.342144650214002,48.85345203570362,75106,2,id_rnb,bdnb-bg-Y1K7-LHU6-D32X,19.2,438,32.4,,INDETERMINE,ARDOISES - TUILES,4,24,Tertiaire & Autres,,Non exposé,Géorisques
2675E1528273V,2026-06-08,D75XZSYVJVT3,75116_9107_00011,11 Boulevard Suchet 75016 Paris,75016,Paris,75,appartement,1948-1974,,31.6,E,E,270,constructed,2.266743958399409,48.85994404601179,75116,1,id_rnb,bdnb-bg-CN39-MRJE-ZBK2,30.5,722,52.0,1972,BETON,BETON,11,81,Résidentiel collectif,,Non exposé,Géorisques
2675E1531594O,2026-06-08,XBPDJ5P4DZYQ,75118_6946_00075,75 Boulevard Ornano 75018 Paris,75018,Paris,75,appartement,avant 1948,,31.9,E,C,338,constructed,2.344719275657032,48.89714483971723,75118,1,id_rnb,bdnb-bg-56PU-UZNF-P87N,20.7,118,52.0,1890,MEULIERE - PIERRE,ZINC ALUMINIUM,7,25,Résidentiel collectif,,Non exposé,Géorisques
2675E1528801D,2026-06-08,XJPHFZ9WFDGA,75107_6160_00008,8 Rue Masseran 75007 Paris,75007,Paris,75,appartement,1948-1974,,68.5,C,C,141,constructed,2.313784368191214,48.84845928704439,75107,1,id_rnb,bdnb-bg-XKW8-T69F-L5U5,24.6,505,39.0,1973,BETON,BETON - AUTRES,11,218,Résidentiel collectif,,Non exposé,Géorisques
2675E1531028U,2026-06-08,QPA38FAKVWVV,75116_3663_00005,5 Boulevard Flandrin 75016 Paris,75016,Paris,75,appartement,1948-1974,,16.5,C,C,116,constructed,2.271692955759742,48.86467322955002,75116,1,id_rnb,bdnb-bg-AAUP-ASMZ-WKR2,29.9,389,51.0,1954,BETON - PIERRE,BETON,10,82,Résidentiel collectif,,Non exposé,Géorisques
2675E1538495Z,2026-06-08,P9Q2T3B5RYST,75118_0051_00006,6 Rue Achille Martinet 75018 Paris,75018,Paris,75,appartement,1948-1974,,42.2,D,D,182,constructed,2.337095738150128,48.89200642847631,75118,5,id_rnb,bdnb-bg-CTEQ-GNSS-65MQ,25.6,967,65.0,1973,AGGLOMERE - BETON,BETON,10,89,Résidentiel collectif,,Non exposé,Géorisques
2675E1532258C,2026-06-08,CCPSP2SZPSW5,75111_3985_00010,10 Villa Gaudelet 75011 Paris,75011,Paris,75,appartement,avant 1948,,18.3,G,C,561,constructed,2.379236829706148,48.865376491725186,75111,1,id_rnb,bdnb-bg-ZDMC-GSZ8-8JCW,4.8,86,50.9,1850,INDETERMINE,INDETERMINE,3,24,Résidentiel collectif,,Non exposé,Géorisques
2675E1538621V,2026-06-08,TN4NRQCB4683,75109_2990_00071,71 Rue de Dunkerque 75009 Paris,75009,Paris,75,appartement,avant 1948,1930,21.5,F,F,396,constructed,2.347505336390975,48.88156519703341,75109,1,id_rnb,bdnb-bg-UKEE-A9K9-UQUS,26.4,1032,56.6,1930,BETON - PIERRE,BETON,9,99,Résidentiel collectif,,Non exposé,Géorisques
2675E1537136S,2026-06-08,E8DG8T9KXYNG,75113_1040_00099,99 Rue Bobillot 75013 Paris,75013,Paris,75,appartement,1948-1974,,51.1,C,C,113,constructed,2.349080988903799,48.824291193861136,75113,2,id_rnb,bdnb-bg-54L7-7N5J-T1XZ,24.8,250,46.7,1962,AGGLOMERE,BETON,10,40,Résidentiel collectif,,Non exposé,Géorisques
2675E1536306U,2026-06-08,DEVJKGWRP7M6,75117_5235_00010,10 Rue Lacroix 75017 Paris,75017,Paris,75,appartement,avant 1948,,11.2,D,B,334,constructed,2.322291248846305,48.89004621485441,75117,1,id_rnb,bdnb-bg-3GTB-YCPN-2DUP,19.2,65,45.3,1870,PIERRE,ARDOISES,5,13,Résidentiel collectif,,Non exposé,Géorisques
2675E1538561N,2026-06-08,EG5J7BSQR5QV,75103_6517_00004,4 Rue de Montmorency 75003 Paris,75003,Paris,75,appartement,avant 1948,,46.1,E,E,243,constructed,2.357190063880415,48.862594002243,75103,1,id_rnb,bdnb-bg-9UEU-SWNU-XP8W,12.5,323,34.9,1952,AUTRES,INDETERMINE,5,7,Résidentiel collectif,,Non exposé,Géorisques
2675E1532077D,2026-06-08,HM5YG3YVQEKK,75118_2929_00004,4 Rue Drevet 75018 Paris,75018,Paris,75,appartement,avant 1948,,25.9,E,B,288,constructed,2.340608882003878,48.88517145100181,75118,1,id_rnb,bdnb-bg-EM6C-XBP8-EU2T,14.5,63,98.3,1830,MEULIERE,ZINC ALUMINIUM,5,8,Résidentiel collectif,,Non exposé,Géorisques
2675E1529057Z,2026-06-08,EZEBQJZCRENM,75116_9761_00007,7 Avenue Victor Hugo 75016 Paris,75016,Paris,75,appartement,avant 1948,,115.6,C,C,110,constructed,2.292636448862348,48.872528210934924,75116,1,id_rnb,bdnb-bg-DJNB-E3H9-S29C,23.0,328,56.2,1900,BETON - PIERRE,ARDOISES - TUILES,7,13,Résidentiel collectif,,Non exposé,Géorisques
2675E1538556I,2026-06-08,YV6FY9VPYYAA,75118_5995_00185,185 Rue Marcadet 75018 Paris,75018,Paris,75,appartement,avant 1948,,73.9,C,B,160,constructed,2.335291050298363,48.89149424597598,75118,1,id_rnb,bdnb-bg-JGAA-8P6W-F9RC,1.2,150,71.5,2002,INDETERMINE,INDETERMINE,4,4,Résidentiel collectif,,Non exposé,Géorisques
2675E1526951Z,2026-06-08,HN2GDAK4BKNC,75114_2236_00033,33 Rue du Commandant René Mouchotte 75014 Paris,75014,Paris,75,appartement,1948-1974,,27.5,D,C,206,constructed,2.319665702100896,48.83770450632072,75114,1,id_rnb,bdnb-bg-BMM6-YYCH-SZL4,52.0,776,63.3,1976,BETON,AUTRES,17,187,Résidentiel collectif,,Non exposé,Géorisques
2675E1533085X,2026-06-08,J5A7MNHS2X9H,75103_8692_00019,19 Boulevard Saint-Martin 75003 Paris,75003,Paris,75,appartement,avant 1948,1870,44.5,E,C,290,constructed,2.359862830275581,48.868011635318005,75103,2,id_rnb,bdnb-bg-4BK9-DY8K-HMN4,22.5,401,38.9,1870,MEULIERE,ZINC ALUMINIUM,8,37,Résidentiel collectif,,Non exposé,Géorisques
2675E1538625Z,2026-06-08,K98E3E8KWKGH,75118_5995_00190,190 Rue Marcadet 75018 Paris,75018,Paris,75,appartement,avant 1948,1900,45.6,G,F,448.1,constructed,2.336224344755497,48.89169248614506,75118,3,id_rnb,bdnb-bg-E59L-3K3T-Y8DB,18.4,132,64.9,1900,BRIQUES - PIERRE,ZINC ALUMINIUM,6,9,Résidentiel collectif,,Non exposé,Géorisques
2675E1526636W,2026-06-08,16M42VNZ5WYC,75120_9802_00061,61 Rue des Vignoles 75020 Paris,75020,Paris,75,appartement,avant 1948,1911,36.2,D,B,209.7,constructed,2.400953578072924,48.85496744675935,75120,1,id_rnb,bdnb-bg-2UZ9-MMJ1-8APQ,21.5,190,60.6,1911,BRIQUES - PIERRE,INDETERMINE,7,36,Résidentiel collectif,,Non exposé,Géorisques
2675E1537545L,2026-06-08,Y8SRBAK1MDCR,75103_3196_00011_b,11b Rue Elzévir 75003 Paris,75003,Paris,75,appartement,avant 1948,,93.9,D,D,166,constructed,2.361659897768529,48.85877464225027,75103,2,id_rnb,bdnb-bg-RPTM-PW13-THEW,19.4,455,35.0,1894,INDETERMINE,INDETERMINE,7,24,Résidentiel collectif,,Non exposé,Géorisques
2675E1538956S,2026-06-08,S3D9W7E28E87,75112_1794_00029,29 Rue de Charenton 75012 Paris,75012,Paris,75,appartement,avant 1948,,9,E,C,541,constructed,2.371446335630171,48.852234583498316,75112,1,id_rnb,bdnb-bg-8LQL-BKM3-L4WG,12.3,145,35.6,1800,PIERRE,TUILES,5,10,Résidentiel collectif,,Non exposé,Géorisques
2675E1537987L,2026-06-08,PEK8PWKD8BPS,75108_2185_00012,12 Rue du Colisée 75008 Paris,75008,Paris,75,appartement,avant 1948,1890,59.5,E,C,320.2,constructed,2.308517001425093,48.87053368867378,75108,1,id_rnb,bdnb-bg-2HKY-FHZU-MBN8,21.0,387,35.0,1890,BRIQUES,ARDOISES,7,24,Résidentiel collectif,,Non exposé,Géorisques
2675E1538429L,2026-06-08,QGNEW1N2ZA6Q,75101_6513_00011,11 Rue Montmartre 75001 Paris,75001,Paris,75,appartement,avant 1948,,62.6,E,E,298,constructed,2.345291834300342,48.864185660604505,75101,2,id_rnb,bdnb-bg-DK14-HZ47-EUBW,20.0,233,32.0,1890,MEULIERE,ZINC ALUMINIUM,7,19,Résidentiel collectif,,Non exposé,Géorisques
2675E1535838U,2026-06-08,TTH3ZSQYP8W4,75116_0594_00072,72 Rue d'Auteuil 75016 Paris,75016,Paris,75,appartement,1948-1974,,24,F,F,354,constructed,2.261058698695103,48.848050809204764,75116,1,id_rnb,bdnb-bg-94N2-6YA8-HM7M,22.9,221,42.3,1963,BETON,AUTRES,9,18,Résidentiel collectif,,Non exposé,Géorisques
2675E1531851L,2026-06-08,K44XJF1DZV1J,75110_9100_00007,7 Boulevard de Strasbourg 75010 Paris,75010,Paris,75,appartement,avant 1948,,96.1,D,B,197,constructed,2.354292294095452,48.869836563516316,75110,2,id_rnb,bdnb-bg-2ZWL-FAJY-7S59,8.1,138,36.7,1800,PIERRE,TUILES,7,30,Résidentiel collectif,,Non exposé,Géorisques
2675E1536837F,2026-06-08,9CYBCMHDAAGQ,75107_0620_00065,65 Rue du Bac 75007 Paris,75007,Paris,75,appartement,avant 1948,,49.1,E,B,265,constructed,2.325027614722862,48.85528011937569,75107,1,id_rnb,bdnb-bg-487E-BJMK-G88G,14.5,167,34.0,1880,PIERRE,ARDOISES - ZINC ALUMINIUM,8,28,Résidentiel collectif,,Non exposé,Géorisques
2675E1536279T,2026-06-08,WEXG6WX4GV2D,75115_5052_00010,10 Rue Juge 75015 Paris,75015,Paris,75,appartement,1989-2000,,37.9,E,B,261,constructed,2.292183255528357,48.85005934321045,75115,2,id_rnb,bdnb-bg-37HU-A6PV-16Y1,14.1,327,34.0,1991,INDETERMINE,INDETERMINE,6,18,Résidentiel collectif,,Non exposé,Géorisques
2675E1537621J,2026-06-08,S68TDRH5APG1,75108_7612_00027,27 Rue de Ponthieu 75008 Paris,75008,Paris,75,appartement,avant 1948,,38.2,D,B,211,constructed,2.308884607049952,48.87058239498617,75108,1,id_rnb,bdnb-bg-ZXYB-2SSH-3UFK,20.0,553,35.0,,INDETERMINE,INDETERMINE,9,1,Tertiaire & Autres,,Non exposé,Géorisques
